ESTIMATED THICKNESSES

Thickness of film 1 = 160.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 845.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
5.97765363128491571842e+02 1.99795435095953055615e+00 7.18959727010605106901e-03
6.01117318435754214079e+02 1.99600654903016838659e+00 7.42151074885107238377e-03
6.04469273743016742628e+02 1.99405874710080621703e+00 7.65342422759609369853e-03
6.07821229050279271178e+02 1.99211094517144404747e+00 7.88533770634111501330e-03
6.11173184357541913414e+02 1.99016314324208187791e+00 8.11725118508613632806e-03
6.14525139664804441963e+02 1.98821534131271970836e+00 8.34916466383115764283e-03
6.17877094972066970513e+02 1.98626753938335753880e+00 8.58107814257617895759e-03
6.21229050279329612749e+02 1.98431973745399536924e+00 8.81299162132120027235e-03
6.24581005586592141299e+02 1.98237193552463319968e+00 9.04490510006622158712e-03
6.27932960893854783535e+02 1.98042413359527103012e+00 9.27681857881124290188e-03
6.31284916201117312085e+02 1.97847633166590886056e+00 9.50873205755626421665e-03
6.34636871508379954321e+02 1.97652852973654669100e+00 9.74064553630128553141e-03
6.37988826815642482870e+02 1.97458072780718452144e+00 9.97255901504630684618e-03
6.41340782122905011420e+02 1.97263292587782235188e+00 1.02044724937913281609e-02
6.44692737430167653656e+02 1.97068512394846018232e+00 1.04363859725363494757e-02
6.48044692737430182206e+02 1.96873732201909801276e+00 1.06682994512813707905e-02
6.51396648044692710755e+02 1.96678952008973584320e+00 1.09002129300263921052e-02
6.54748603351955352991e+02 1.96484171816037367364e+00 1.11321264087714134200e-02
6.58100558659217881541e+02 1.96289391623101150408e+00 1.13640398875164347348e-02
6.61452513966480410090e+02 1.96124419956178397406e+00 1.15959533662614560495e-02
6.64804469273743052327e+02 1.95959448289255644404e+00 1.18278668450064773643e-02
6.68156424581005580876e+02 1.95794476622332891402e+00 1.20597803237514986791e-02
6.71508379888268109426e+02 1.95629504955410138400e+00 1.22916938024965199938e-02
6.74860335195530751662e+02 1.95464533288487385398e+00 1.25236072812415413086e-02
6.78212290502793280211e+02 1.95299563283689558979e+00 1.27555207599865626233e-02
6.81564245810055808761e+02 1.95134593278891732560e+00 1.29874342387315839381e-02
6.84916201117318450997e+02 1.94969623274093906140e+00 1.32193477174766052529e-02
6.88268156424580979547e+02 1.94804653269296079721e+00 1.34512611962216265676e-02
6.91620111731843508096e+02 1.94639683264498253301e+00 1.36831746749666478824e-02
6.94972067039106150332e+02 1.94639683264498253301e+00 1.39150881537116691972e-02
6.98324022346368792569e+02 1.94639683264498253301e+00 1.41470016324566905119e-02
7.01675977653631207431e+02 1.94639683264498253301e+00 1.43513435095958021004e-02
7.05027932960893849668e+02 1.94639683264498253301e+00 1.45556853867349136888e-02
7.08379888268156491904e+02 1.94639683264498253301e+00 1.47600272638740252773e-02
7.11731843575419020453e+02 1.94639683264498253301e+00 1.49643691410131368658e-02
7.15083798882681549003e+02 1.94639683264498253301e+00 1.51217978899014122984e-02
7.18435754189944191239e+02 1.94639683264498253301e+00 1.52792266387896877311e-02
7.21787709497206719789e+02 1.94639683264498253301e+00 1.54366553876779631638e-02
7.25139664804469248338e+02 1.94639683264498253301e+00 1.55940841365662385964e-02
7.28491620111731890574e+02 1.94639683264498253301e+00 1.57515128854545140291e-02
7.31843575418994419124e+02 1.94639683264498253301e+00 1.59089416343427894618e-02
7.35195530726256947673e+02 1.94639683264498253301e+00 1.60663703832310648945e-02
7.38547486033519589910e+02 1.94639683264498253301e+00 1.61409675684172290722e-02
7.41899441340782118459e+02 1.94639683264498253301e+00 1.62155647536033932499e-02
7.45251396648044647009e+02 1.94639683264498253301e+00 1.62901619387895574276e-02
7.48603351955307289245e+02 1.94639683264498253301e+00 1.63647591239757216053e-02
7.51955307262569817794e+02 1.94639683264498253301e+00 1.63903159976296064482e-02
7.55307262569832346344e+02 1.94639683264498253301e+00 1.64158728712834912911e-02
