ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
5.88659793814432987347e+02 1.98130317847261339104e+00 1.81430339764747719511e-03
5.91752577319587658167e+02 1.98082324877371895866e+00 2.22918547370989971260e-03
5.94845360824742328987e+02 1.98034331907482452628e+00 2.64406754977232223008e-03
5.97938144329896886120e+02 1.97986338937593009391e+00 3.05894962583474474757e-03
6.01030927835051556940e+02 1.97938345967703566153e+00 3.47383170189716726506e-03
6.04123711340206227760e+02 1.97890352997814122915e+00 3.88871377783657490301e-03
6.07216494845360784893e+02 1.97842360027924679677e+00 4.30359585377598254097e-03
6.10309278350515455713e+02 1.97794367058035236440e+00 4.71847792971539017892e-03
6.13402061855670126533e+02 1.97746374088145793202e+00 5.13336000565479781688e-03
6.16494845360824683667e+02 1.97698381118256349964e+00 5.54824208159420545483e-03
6.19587628865979354487e+02 1.97650388148366906726e+00 5.96312415753361309279e-03
6.22680412371134025307e+02 1.97602395178477463489e+00 6.37800623347302073074e-03
6.25773195876288696127e+02 1.97554402208588020251e+00 6.79288830941242836869e-03
6.28865979381443366947e+02 1.97506409238698577013e+00 7.20777038535183600665e-03
6.31958762886597924080e+02 1.97458416268809133776e+00 7.62265246129124364460e-03
6.35051546391752594900e+02 1.97410423298919690538e+00 8.03753453723065128256e-03
6.38144329896907265720e+02 1.97362430329030247300e+00 8.45241661317005892051e-03
6.41237113402061822853e+02 1.97314437359140804062e+00 8.86729823468071845505e-03
6.44329896907216493673e+02 1.97266444389251360825e+00 9.28217985619137798958e-03
6.47422680412371164493e+02 1.97218451419361917587e+00 9.69705841920789554655e-03
6.50515463917525721627e+02 1.97170458449472474349e+00 1.01119369822244131035e-02
6.53608247422680392447e+02 1.97122465479583031112e+00 1.05268155452409306605e-02
6.56701030927835063267e+02 1.97074472509693587874e+00 1.09416941082574482175e-02
6.59793814432989620400e+02 1.97026479539804144636e+00 1.13565726712739657744e-02
6.62886597938144404907e+02 1.96978486569914701398e+00 1.17714512342904833314e-02
6.65979381443298962040e+02 1.96930493600025258161e+00 1.21863297973070008884e-02
6.69072164948453632860e+02 1.96882500630135814923e+00 1.26011377510872116248e-02
6.72164948453608303680e+02 1.96834507660246371685e+00 1.30159457048674223612e-02
6.75257731958762860813e+02 1.96786514690356928448e+00 1.34303815245443852744e-02
6.78350515463917531633e+02 1.96738521720467485210e+00 1.38448173442213481876e-02
6.81443298969072202453e+02 1.96690528750578041972e+00 1.42592531638983111009e-02
6.84536082474226759587e+02 1.96642535780688598734e+00 1.46736889835752740141e-02
6.87628865979381430407e+02 1.96594542810799155497e+00 1.50881248032522369273e-02
6.90721649484536101227e+02 1.96546549840909712259e+00 1.55025606229291998406e-02
6.93814432989690658360e+02 1.96498556871020269021e+00 1.59169964426061627538e-02
6.96907216494845442867e+02 1.96450563901130825784e+00 1.63314322622831256671e-02
7.00000000000000000000e+02 1.96402570931241382546e+00 1.67434180788718980915e-02
