ESTIMATED THICKNESSES

Thickness of film 1 = 157.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 701.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
7.05369127516778462450e+02 8.56499871210012031497e-01
7.10067114093959730781e+02 8.55889714839699555782e-01
7.14765100671140999111e+02 8.55179858516580182481e-01
7.19463087248322153755e+02 8.54380601223491131790e-01
7.24161073825503308399e+02 8.53501817478315993881e-01
7.28859060402684576729e+02 8.52552941474130188126e-01
7.33557046979865845060e+02 8.51542956577616250158e-01
7.38255033557046999704e+02 8.50480389587812246610e-01
7.42953020134228154348e+02 8.49373309180608049296e-01
7.47651006711409308991e+02 8.48229327993867077140e-01
7.52348993288590577322e+02 8.47055607841822988391e-01
7.57046979865771845652e+02 8.45858867584032947384e-01
7.61744966442953000296e+02 8.44645393212421713436e-01
7.66442953020134154940e+02 8.43421049758689034270e-01
7.71140939597315423271e+02 8.42191294662824052608e-01
7.75838926174496691601e+02 8.40961192280905933671e-01
7.80536912751677846245e+02 8.39735429246331710473e-01
7.85234899328859000889e+02 8.38518330432645897510e-01
7.89932885906040269219e+02 8.37313875298036358608e-01
7.94630872483221537550e+02 8.36125714421217858252e-01
7.99328859060402692194e+02 8.34970377760081983176e-01
8.04026845637583846838e+02 8.33822293559127181162e-01
8.08724832214765115168e+02 8.32683798962079224637e-01
8.13422818791946269812e+02 8.31557050334761460597e-01
8.18120805369127538142e+02 8.30444032282303234993e-01
8.22818791946308692786e+02 8.29346566491376724350e-01
8.27516778523489847430e+02 8.28266320364239971852e-01
8.32214765100671115761e+02 8.27204815417686534218e-01
8.36912751677852384091e+02 8.26163435425640080290e-01
8.41610738255033538735e+02 8.25143434289029586992e-01
8.46308724832214693379e+02 8.24145943620967602605e-01
8.51006711409395961709e+02 8.23171980039005268814e-01
8.55704697986577230040e+02 8.22222452159550698525e-01
8.60402684563758384684e+02 8.21298167292329961420e-01
8.65100671140939539328e+02 8.20399837835216971804e-01
8.69798657718120807658e+02 8.19471774386739126861e-01
8.74496644295302075989e+02 8.18562536307419374992e-01
8.79194630872483230632e+02 8.17672648973129523320e-01
8.83892617449664385276e+02 8.16802578020023428707e-01
8.88590604026845653607e+02 8.15952733026114374049e-01
8.93288590604026808251e+02 8.15123471017257128501e-01
8.97986577181208076581e+02 8.14301289968411001752e-01
9.02684563758389231225e+02 8.13500473044345140394e-01
9.07382550335570385869e+02 8.12721230691425655657e-01
9.12080536912751654199e+02 8.11963733428782474810e-01
9.16778523489932922530e+02 8.11228114546859280232e-01
9.21476510067114077174e+02 8.10514472661231333284e-01
9.26174496644295231818e+02 8.09822874127480663020e-01
9.30872483221476500148e+02 8.08599866049270254997e-01
9.35570469798657654792e+02 8.07406656104563080767e-01
9.40268456375838923123e+02 8.06242923636351860317e-01
9.44966442953020077766e+02 8.05108334981159079469e-01
9.49664429530201346097e+02 8.04002544969556143251e-01
9.54362416107382500741e+02 8.02925198320717625755e-01
9.59060402684563769071e+02 8.01875930937415271060e-01
9.63758389261744923715e+02 8.00854371107514673156e-01
9.68456375838926192046e+02 7.99860140617739578950e-01
9.73154362416107346689e+02 7.98892855785157229853e-01
9.77852348993288615020e+02 7.97952128411552608078e-01
9.82550335570469769664e+02 7.97037566665574459535e-01
9.87248322147651037994e+02 7.96148775897254634693e-01
9.91946308724832192638e+02 7.95285359389274582043e-01
9.96644295302013460969e+02 7.94446919049056843320e-01
1.00134228187919461561e+03 7.93633056045568330283e-01
1.00604026845637577026e+03 7.92843371394465923352e-01
1.01073825503355703859e+03 7.92077466495011650593e-01
1.01543624161073819323e+03 7.91334943621978981199e-01
1.02013422818791946156e+03 7.90615406375575924258e-01
1.02483221476510061621e+03 7.89918460092224439251e-01
1.02953020134228199822e+03 7.89243712218875570485e-01
1.03422818791946292549e+03 7.88590772653345761789e-01
1.03892617449664430751e+03 7.87959254053037905230e-01
1.04362416107382546215e+03 7.87348772114242700937e-01
1.04832214765100661680e+03 7.86758945824078792519e-01
1.05302013422818799881e+03 7.86189397687005020465e-01
1.05771812080536915346e+03 7.85639753927715678294e-01
1.06241610738255030810e+03 7.85109644672107864771e-01
1.06711409395973169012e+03 7.84598704107904110217e-01
1.07181208053691261739e+03 7.84106570626411314429e-01
1.07651006711409399941e+03 7.83632886946795448324e-01
1.08120805369127515405e+03 7.83177300224177641574e-01
1.08590604026845630870e+03 7.82739462142742148387e-01
1.09060402684563769071e+03 7.82319028995002385685e-01
1.09530201342281861798e+03 7.81915661748262325048e-01
1.10000000000000000000e+03 7.81529026099270773820e-01


QUADRATIC ERROR = 5.567520e-03
