ESTIMATED THICKNESSES NOBS=160

Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 900.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.00318147409213942467e+00 0.00000000000000000000e+00
4.03773584905660356981e+02 2.00283781977319153000e+00 0.00000000000000000000e+00
4.07547169811320770805e+02 2.00249416545424363534e+00 0.00000000000000000000e+00
4.11320754716981127785e+02 2.00215051113529574067e+00 0.00000000000000000000e+00
4.15094339622641484766e+02 2.00180685681634784601e+00 0.00000000000000000000e+00
4.18867924528301898590e+02 2.00146320249739995134e+00 0.00000000000000000000e+00
4.22641509433962255571e+02 2.00111954817845205667e+00 0.00000000000000000000e+00
4.26415094339622669395e+02 2.00077589385950416201e+00 0.00000000000000000000e+00
4.30188679245283026376e+02 2.00043223954055626734e+00 0.00000000000000000000e+00
4.33962264150943383356e+02 2.00008858522160837268e+00 0.00000000000000000000e+00
4.37735849056603797180e+02 1.99974493090266047801e+00 0.00000000000000000000e+00
4.41509433962264154161e+02 1.99940127658371258335e+00 0.00000000000000000000e+00
4.45283018867924511142e+02 1.99905762226476468868e+00 0.00000000000000000000e+00
4.49056603773584924966e+02 1.99871396794581679401e+00 0.00000000000000000000e+00
4.52830188679245281946e+02 1.99837031362686889935e+00 0.00000000000000000000e+00
4.56603773584905638927e+02 1.99802665930792100468e+00 0.00000000000000000000e+00
4.60377358490566052751e+02 1.99768300498897311002e+00 0.00000000000000000000e+00
4.64150943396226409732e+02 1.99733935067002521535e+00 0.00000000000000000000e+00
4.67924528301886766712e+02 1.99699569635107732068e+00 0.00000000000000000000e+00
4.71698113207547180536e+02 1.99665204203212942602e+00 0.00000000000000000000e+00
4.75471698113207537517e+02 1.99630838771318153135e+00 0.00000000000000000000e+00
4.79245283018867894498e+02 1.99596473339423363669e+00 0.00000000000000000000e+00
4.83018867924528308322e+02 1.99562107907528574202e+00 0.00000000000000000000e+00
4.86792452830188665303e+02 1.99527742475633784736e+00 0.00000000000000000000e+00
4.90566037735849022283e+02 1.99493377043738995269e+00 0.00000000000000000000e+00
4.94339622641509436107e+02 1.99459011611844494460e+00 0.00000000000000000000e+00
4.98113207547169793088e+02 1.99424646179949993652e+00 0.00000000000000000000e+00
5.01886792452830206912e+02 1.99390280748055492843e+00 0.00000000000000000000e+00
5.05660377358490563893e+02 1.99355915316160992035e+00 0.00000000000000000000e+00
5.09433962264150977717e+02 1.99321549884268089947e+00 0.00000000000000000000e+00
5.13207547169811277854e+02 1.99287184452375187860e+00 0.00000000000000000000e+00
5.16981132075471691678e+02 1.99252819020482285772e+00 0.00000000000000000000e+00
5.20754716981132105502e+02 1.99218453588589383685e+00 0.00000000000000000000e+00
5.24528301886792405639e+02 1.99184088156701855077e+00 0.00000000000000000000e+00
5.28301886792452819464e+02 1.99149722724814326469e+00 0.00000000000000000000e+00
5.32075471698113233288e+02 1.99115357292926797861e+00 0.00000000000000000000e+00
5.35849056603773533425e+02 1.99080991861039269253e+00 0.00000000000000000000e+00
5.39622641509433947249e+02 1.99046626429163908689e+00 0.00000000000000000000e+00
5.43396226415094361073e+02 1.99012260997288548126e+00 0.00000000000000000000e+00
5.47169811320754661210e+02 1.98977895565413187562e+00 0.00000000000000000000e+00
5.50943396226415075034e+02 1.98943530133537826998e+00 0.00000000000000000000e+00
5.54716981132075488858e+02 1.98909164701682805720e+00 0.00000000000000000000e+00
5.58490566037735788996e+02 1.98874799269827784443e+00 0.00000000000000000000e+00
5.62264150943396202820e+02 1.98840433837972763165e+00 0.00000000000000000000e+00
5.66037735849056616644e+02 1.98806068406117741887e+00 0.00000000000000000000e+00
5.69811320754716916781e+02 1.98771702974289077304e+00 0.00000000000000000000e+00
5.73584905660377330605e+02 1.98737337542460412720e+00 0.00000000000000000000e+00
5.77358490566037744429e+02 1.98702972110631748137e+00 0.00000000000000000000e+00
5.81132075471698044566e+02 1.98668606678803083554e+00 8.51548642808865692468e-05
5.84905660377358458391e+02 1.98634241246974418971e+00 5.89163617178067085950e-04
5.88679245283018872215e+02 1.98599875815172910443e+00 1.09317237007524378084e-03
5.92452830188679286039e+02 1.98565510383371401915e+00 1.59718112297242047573e-03
5.96226415094339586176e+02 1.98531144951569893387e+00 2.10118987586959717062e-03
6.00000000000000000000e+02 1.98496779519768384858e+00 2.60519862876659779108e-03
6.03773584905660413824e+02 1.98462414087990057787e+00 3.10920738166359841154e-03
6.07547169811320827648e+02 1.98428048656211730716e+00 3.61321613455925548866e-03
6.11320754716981127785e+02 1.98393683224433403645e+00 4.11722488745491256579e-03
6.15094339622641541609e+02 1.98359317792655076573e+00 4.62123364034271177925e-03
6.18867924528301955434e+02 1.98324952360894335435e+00 5.12524239323051099271e-03
6.22641509433962255571e+02 1.98290586929133594296e+00 5.62925114611831020617e-03
6.26415094339622669395e+02 1.98256221497372853158e+00 6.13325989894082917314e-03
