ESTIMATED THICKNESSES

Thickness of film 1 = 167.40 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 825.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
5.79194630872483230632e+02 1.99955267520772883572e+00 2.43184986678104259061e-04
5.82885906040268423567e+02 1.99947141727020261115e+00 7.84730107751995670240e-04
5.86577181208053616501e+02 1.99939015933267638658e+00 1.32627522882588708142e-03
5.90268456375838923123e+02 1.99930890139515016202e+00 1.86782034989977849260e-03
5.93959731543624116057e+02 1.99922764359012394841e+00 2.40936547097366990378e-03
5.97651006711409422678e+02 1.99914638578509773481e+00 2.95091059204756131495e-03
6.01342281879194615613e+02 1.99906512798007152121e+00 3.49245571312145272613e-03
6.05033557046979922234e+02 1.99898387017504530760e+00 4.03400083419534413731e-03
6.08724832214765115168e+02 1.99890261237001909400e+00 4.57554595526923554849e-03
6.12416107382550308103e+02 1.99882210830840723048e+00 5.11709107634312695967e-03
6.16107382550335614724e+02 1.99874160424679536696e+00 5.65863619741701837085e-03
6.19798657718120807658e+02 1.99866110018518350344e+00 6.20018131849090978203e-03
6.23489932885906000593e+02 1.99858059612357163992e+00 6.74172643956480119320e-03
6.27181208053691307214e+02 1.99850009206195977640e+00 7.28327156063869260438e-03
6.30872483221476500148e+02 1.99842238329217081194e+00 7.82481668171258401556e-03
6.34563758389261693083e+02 1.99834467452238184748e+00 8.36636180278647542674e-03
6.38255033557046999704e+02 1.99826696575259288302e+00 8.90790692386036683792e-03
6.41946308724832192638e+02 1.99818925698280391856e+00 9.44945204493425824910e-03
6.45637583892617385573e+02 1.99811154821301495410e+00 9.99099716600814966028e-03
6.49328859060402692194e+02 1.99805731056629021225e+00 1.05325422870820410715e-02
6.53020134228187885128e+02 1.99800307291956547040e+00 1.10740874081559324826e-02
6.56711409395973078063e+02 1.99794883527284072855e+00 1.16156325292298238938e-02
6.60402684563758384684e+02 1.99789459762611598670e+00 1.21571776503037153050e-02
6.64093959731543577618e+02 1.99784035997939124485e+00 1.26987227713776067162e-02
6.67785234899328884239e+02 1.99780930447277116357e+00 1.32402678924514981273e-02
6.71476510067114077174e+02 1.99777824896615108230e+00 1.37818130135253895385e-02
6.75167785234899383795e+02 1.99774719345953100103e+00 1.43233581345992809497e-02
6.78859060402684576729e+02 1.99771613795291091975e+00 1.48649032556731723609e-02
6.82550335570469769664e+02 1.99769943380112335873e+00 1.54064483767470637721e-02
6.86241610738255076285e+02 1.99768272964933579772e+00 1.59479934978209551832e-02
6.89932885906040269219e+02 1.99766602549754823670e+00 1.64895386188948465944e-02
6.93624161073825462154e+02 1.99764932134576067568e+00 1.70310837090094681356e-02
6.97315436241610768775e+02 1.99763261719397311467e+00 1.75726287991240896769e-02
7.01006711409395961709e+02 1.99761930885936145330e+00 1.81141738892387112181e-02
7.04697986577181154644e+02 1.99760600052474979194e+00 1.86557189793533327593e-02
7.08389261744966461265e+02 1.99759269219013813057e+00 1.91972416144388646764e-02
7.12080536912751654199e+02 1.99757938385552646920e+00 1.97387642495243965934e-02
7.15771812080536847134e+02 1.99756607552091480784e+00 2.00568405951413487875e-02
7.19463087248322153755e+02 1.99755290823775477627e+00 2.03749169407583009817e-02
7.23154362416107346689e+02 1.99753974095459474469e+00 2.06328617334061714672e-02
7.26845637583892539624e+02 1.99752657367143471312e+00 2.08908065260540419528e-02
7.30536912751677846245e+02 1.99751340638827468155e+00 2.11485339398536156819e-02
7.34228187919463152866e+02 1.99750023910511464997e+00 2.14062613536531894110e-02
7.37919463087248232114e+02 1.99748707808653125362e+00 2.16638969997083354058e-02
7.41610738255033538735e+02 1.99747391706794785726e+00 2.19215326457634814006e-02
7.45302013422818845356e+02 1.99746075604936446091e+00 2.21570617721661214383e-02
7.48993288590603924604e+02 1.99744759503078106455e+00 2.23925908985687614761e-02
7.52684563758389231225e+02 1.99743443401219766820e+00 2.26196632592537867634e-02
7.56375838926174537846e+02 1.99742128719219036448e+00 2.28467356199388120508e-02
7.60067114093959730781e+02 1.99740814037218306076e+00 2.27845235255793691909e-02
7.63758389261744923715e+02 1.99739499590310254362e+00 2.27223114312199263309e-02
7.67449664429530230336e+02 1.99738185143402202648e+00 2.26600993368604834710e-02
7.71140939597315423271e+02 1.99736870765619722867e+00 2.25978872425010406111e-02
7.74832214765100616205e+02 1.99735556387837243086e+00 2.25356751481415977512e-02
7.78523489932885922826e+02 1.99734242010054763306e+00 2.24734630537821548912e-02
7.82214765100671115761e+02 1.99732927635434709401e+00 2.24112509594227120313e-02
7.85906040268456308695e+02 1.99731613260814655497e+00 2.23490388650632691714e-02
7.89597315436241615316e+02 1.99730298931429595122e+00 2.22868267707038263115e-02
7.93288590604026808251e+02 1.99728984602044534746e+00 2.22246146763443834515e-02
7.96979865771812001185e+02 1.99727670363768106121e+00 2.21624025819849405916e-02
8.00671140939597307806e+02 1.99726356125491677496e+00 2.21001904876254977317e-02
8.04362416107382500741e+02 1.99725041887215248870e+00 2.19242610423953793175e-02
8.08053691275167693675e+02 1.99723727767352432494e+00 2.17483315971652609033e-02
8.11744966442953000296e+02 1.99722413647489616118e+00 2.15724021519351424891e-02
8.15436241610738306917e+02 1.99721099527626799741e+00 2.12512255857665449676e-02
8.19127516778523386165e+02 1.99719785518074588460e+00 2.09300490195979474461e-02
8.22818791946308692786e+02 1.99718471508522377178e+00 2.06088724534293499246e-02
8.26510067114093999407e+02 1.99717157592310501357e+00 2.00715514566729043289e-02
8.30201342281879192342e+02 1.99715843676098625536e+00 1.95342304599164587331e-02
8.33892617449664385276e+02 1.99714529831776088642e+00 1.89969094631600131373e-02
8.37583892617449691897e+02 1.99713215987453551747e+00 1.84595897012190778008e-02
8.41275167785234884832e+02 1.99711902143131014853e+00 1.79222699392781424643e-02
8.44966442953020077766e+02 1.99710588339575934036e+00 1.73849501773372071278e-02
8.48657718120805384387e+02 1.99709274536020853219e+00 1.68485246821906790859e-02
8.52348993288590577322e+02 1.99707960757345204250e+00 1.63120991870441510441e-02
8.56040268456375770256e+02 1.99706646978669555281e+00 1.57758092228228105625e-02
8.59731543624161076877e+02 1.99705333199993906312e+00 1.52395192586014700808e-02
8.63422818791946269812e+02 1.99704019431522450390e+00 1.47032292943801278645e-02
8.67114093959731462746e+02 1.99702705663050994467e+00 1.41669393301587856482e-02
8.70805369127516769368e+02 1.99701391899735658519e+00 1.36306493659374434319e-02
8.74496644295301962302e+02 1.99700078136420322572e+00 1.30943594017161012155e-02
8.78187919463087155236e+02 1.99698764373104986625e+00 1.25580694374947589992e-02
8.81879194630872461858e+02 1.99697450611439797363e+00 1.20217794732734167829e-02
8.85570469798657768479e+02 1.99696136849774608102e+00 1.14854895090520745665e-02
8.89261744966442847726e+02 1.99694823088814632506e+00 1.09491995448307323502e-02
8.92953020134228154348e+02 1.99693509327854656910e+00 1.04129095806093901339e-02
8.96644295302013460969e+02 1.99692195566894681313e+00 9.87661961638804791752e-03
9.00335570469798653903e+02 1.99690881806097153550e+00 9.34032965216670570119e-03
9.04026845637583846838e+02 1.99689568045299625787e+00 8.80403968794536348486e-03
9.07718120805369153459e+02 1.99688254284552479945e+00 8.26774972372402126852e-03
9.11409395973154346393e+02 1.99686940523805334102e+00 7.73145976617124492530e-03
9.15100671140939539328e+02 1.99685626763058188260e+00 7.19516980861846858208e-03
9.18791946308724845949e+02 1.99684313002316216057e+00 6.65887985106569223887e-03
9.22483221476510038883e+02 1.99682999241574243854e+00 6.12259845535260277538e-03
9.26174496644295231818e+02 1.99681685480832848967e+00 5.58631705963951331190e-03
9.29865771812080538439e+02 1.99680371720091454080e+00 5.05003566392642384841e-03
9.33557046979865731373e+02 1.99679057959350059193e+00 4.53709781123533446856e-03
9.37248322147650924308e+02 1.99677744198608664306e+00 4.02415995854424508871e-03
9.40939597315436230929e+02 1.99676430437867269418e+00 3.51122210585315570885e-03
9.44630872483221423863e+02 1.99675116677125874531e+00 3.27266775599321674967e-03
9.48322147651006616798e+02 1.99673802916384479644e+00 3.03411340613327779048e-03
9.52013422818791923419e+02 1.99672489155643084757e+00 2.79555905627333883129e-03
9.55704697986577230040e+02 1.99671175394901689870e+00 2.58051530024554958212e-03
9.59395973154362309288e+02 1.99669861634160294983e+00 2.36547154421776033295e-03
9.63087248322147615909e+02 1.99668547873418900096e+00 2.15042778818997108378e-03
9.66778523489932808843e+02 1.99667234112677505209e+00 1.93538499631631857184e-03
9.70469798657718115464e+02 1.99665920351936110322e+00 1.72034221930063703325e-03
9.74161073825503308399e+02 1.99664606591194715435e+00 1.50529944228495549466e-03
9.77852348993288615020e+02 1.99663292830453320548e+00 1.29025666526981367191e-03
9.81543624161073807954e+02 1.99661979069711925661e+00 1.07521388825467184916e-03
9.85234899328859000889e+02 1.99660665308970530774e+00 8.60171111239529917990e-04
9.88926174496644307510e+02 1.99659351548229135886e+00 6.45128334224387986820e-04
9.92617449664429500444e+02 1.99658037787487740999e+00 4.30085557209246055650e-04
9.96308724832214693379e+02 1.99656724026746346112e+00 2.15042780194104178691e-04
1.00000000000000000000e+03 1.99655410266004951225e+00 3.25532489417402791252e-12


TRANSMITTANCE WITH THE ESTIMATED THICKNESSES AND OPTICAL PARAMETERS

lambda                     t
4.50000000000000000000e+02 7.62049001829344208048e-01
4.53691275167785249778e+02 7.62319847829048158339e-01
4.57382550335570442712e+02 7.63024145783506746454e-01
4.61073825503355692490e+02 7.64138258693780159092e-01
4.64765100671140942268e+02 7.65638392317503302387e-01
4.68456375838926192046e+02 7.67500711709309890729e-01
4.72147651006711384980e+02 7.69701432423110176728e-01
4.75838926174496634758e+02 7.72216892326017090298e-01
4.79530201342281884536e+02 7.75023608904243821449e-01
4.83221476510067134313e+02 7.78098326024748265795e-01
4.86912751677852327248e+02 7.81418053335059981102e-01
4.90604026845637577026e+02 7.84960100819964368135e-01
4.94295302013422826803e+02 7.88702110471326212071e-01
4.97986577181208076581e+02 7.92622086551640236962e-01
5.01677852348993269516e+02 7.96698425491960460221e-01
5.05369127516778519293e+02 8.00909946356273660939e-01
5.09060402684563769071e+02 8.05235921947119459574e-01
5.12751677852348962006e+02 8.09656111152162516476e-01
5.16442953020134268627e+02 8.14150792365134434725e-01
5.20134228187919461561e+02 8.18686816566294051079e-01
5.23825503355704654496e+02 8.23259844884472680171e-01
5.27516778523489961117e+02 8.27852028857018473751e-01
5.31208053691275154051e+02 8.32446174023605545145e-01
5.34899328859060460672e+02 8.37025774134944833271e-01
5.38590604026845653607e+02 8.41037514511757566815e-01
5.42281879194630846541e+02 8.45026060077812779525e-01
5.45973154362416153162e+02 8.48980237278183502703e-01
5.49664429530201346097e+02 8.52889411032307975802e-01
5.53355704697986539031e+02 8.56743496979658569757e-01
5.57046979865771845652e+02 8.60532556965204586952e-01
5.60738255033557038587e+02 8.64248078732351321385e-01
5.64429530201342231521e+02 8.67881689300859959779e-01
5.68120805369127538142e+02 8.71425598481212149160e-01
5.71812080536912731077e+02 8.74872602078738625941e-01
5.75503355704697924011e+02 8.78216082962506416898e-01
5.79194630872483230632e+02 8.80584628370783217832e-01
5.82885906040268423567e+02 8.81781635953165165986e-01
5.86577181208053616501e+02 8.82867547930355822672e-01
5.90268456375838923123e+02 8.83840031981965590369e-01
5.93959731543624116057e+02 8.84697290248052881090e-01
5.97651006711409422678e+02 8.85438034373601579041e-01
6.01342281879194615613e+02 8.86061459515209870474e-01
6.05033557046979922234e+02 8.86567217865944945387e-01
6.08724832214765115168e+02 8.86955391662603620517e-01
6.12416107382550308103e+02 8.87226315026890421933e-01
6.16107382550335614724e+02 8.87381021445401318992e-01
6.19798657718120807658e+02 8.87420718313553513745e-01
6.23489932885906000593e+02 8.87346933518556757470e-01
6.27181208053691307214e+02 8.87161488484366711482e-01
6.30872483221476500148e+02 8.86866109875822816733e-01
6.34563758389261693083e+02 8.86463561598821780940e-01
6.38255033557046999704e+02 8.85956385376943877930e-01
6.41946308724832192638e+02 8.85347314100762394773e-01
6.45637583892617385573e+02 8.84639248244539322386e-01
6.49328859060402692194e+02 8.83833614134402534290e-01
6.53020134228187885128e+02 8.82935701276069240251e-01
6.56711409395973078063e+02 8.81948747223227913494e-01
6.60402684563758384684e+02 8.80876072403329546390e-01
6.64093959731543577618e+02 8.79721061957790206876e-01
6.67785234899328884239e+02 8.78486674602715233995e-01
6.71476510067114077174e+02 8.77177231504673970974e-01
6.75167785234899383795e+02 8.75796180839835125553e-01
6.78859060402684576729e+02 8.74346974456220671357e-01
6.82550335570469769664e+02 8.72833193936074502872e-01
6.86241610738255076285e+02 8.71258306108790292477e-01
6.89932885906040269219e+02 8.69625683814725047860e-01
6.93624161073825462154e+02 8.67938660543415840820e-01
6.97315436241610768775e+02 8.66200521796578803979e-01
7.01006711409395961709e+02 8.64414623461683184757e-01
7.04697986577181154644e+02 8.62584036819267763185e-01
7.08389261744966461265e+02 8.60711919612606846108e-01
7.12080536912751654199e+02 8.58801233626074744798e-01
7.15771812080536847134e+02 8.57450065280395135048e-01
7.19463087248322153755e+02 8.56053862685453470505e-01
7.23154362416107346689e+02 8.54772547237944158027e-01
7.26845637583892539624e+02 8.53448760609040402159e-01
7.30536912751677846245e+02 8.52085834022918708897e-01
7.34228187919463152866e+02 8.50685904602256570683e-01
7.37919463087248232114e+02 8.49251835320055881162e-01
7.41610738255033538735e+02 8.47785948387977272844e-01
7.45302013422818845356e+02 8.46345086234611354570e-01
7.48993288590603924604e+02 8.44876196719444694239e-01
7.52684563758389231225e+02 8.43402000319327660449e-01
7.56375838926174537846e+02 8.41903968365555477327e-01
7.60067114093959730781e+02 8.41067852267477600314e-01
7.63758389261744923715e+02 8.40199019272959812810e-01
7.67449664429530230336e+02 8.39299690012968335751e-01
7.71140939597315423271e+02 8.38372018763527293572e-01
7.74832214765100616205e+02 8.37418092497772548199e-01
7.78523489932885922826e+02 8.36439930644949591887e-01
7.82214765100671115761e+02 8.35439484912546603823e-01
7.85906040268456308695e+02 8.34418639372469850279e-01
7.89597315436241615316e+02 8.33379210791482472054e-01
7.93288590604026808251e+02 8.32322949027751501916e-01
7.96979865771812001185e+02 8.31251537815231533735e-01
8.00671140939597307806e+02 8.30166595373466598140e-01
8.04362416107382500741e+02 8.29310216356197948961e-01
8.08053691275167693675e+02 8.28439043721336365600e-01
8.11744966442953000296e+02 8.27554590095459952082e-01
8.15436241610738306917e+02 8.26957601322080182449e-01
8.19127516778523386165e+02 8.26345058465187465302e-01
8.22818791946308692786e+02 8.25718399576193307077e-01
8.26510067114093999407e+02 8.25513484155026011635e-01
8.30201342281879192342e+02 8.25290165839572931183e-01
8.33892617449664385276e+02 8.25049856629496813909e-01
8.37583892617449691897e+02 8.24793916571737395493e-01
8.41275167785234884832e+02 8.24523661795948714648e-01
8.44966442953020077766e+02 8.24240357868864292890e-01
8.48657718120805384387e+02 8.23943506876377740333e-01
8.52348993288590577322e+02 8.23636022769026809875e-01
8.56040268456375770256e+02 8.23318775015689841013e-01
8.59731543624161076877e+02 8.22993104635377892286e-01
8.63422818791946269812e+02 8.22660048903489093952e-01
8.67114093959731462746e+02 8.22320602450520965476e-01
8.70805369127516769368e+02 8.21975718299341684414e-01
8.74496644295301962302e+02 8.21626308917771885909e-01
8.78187919463087155236e+02 8.21273247286451124616e-01
8.81879194630872461858e+02 8.20917367975507628053e-01
8.85570469798657768479e+02 8.20559468227758270764e-01
8.89261744966442847726e+02 8.20200309042339426036e-01
8.92953020134228154348e+02 8.19840616257918930465e-01
8.96644295302013460969e+02 8.19481081630290431050e-01
9.00335570469798653903e+02 8.19122363903012740138e-01
9.04026845637583846838e+02 8.18765089868328743705e-01
9.07718120805369153459e+02 8.18409855415772269360e-01
9.11409395973154346393e+02 8.18057226555828798098e-01
9.15100671140939539328e+02 8.17707740473340827236e-01
9.18791946308724845949e+02 8.17361906495509993320e-01
9.22483221476510038883e+02 8.17020192813620926842e-01
9.26174496644295231818e+02 8.16683070448438575006e-01
9.29865771812080538439e+02 8.16350971009485282259e-01
9.33557046979865731373e+02 8.15986106478589934277e-01
9.37248322147650924308e+02 8.15627521205896433010e-01
9.40939597315436230929e+02 8.15275564480078651641e-01
9.44630872483221423863e+02 8.14489768600242691754e-01
9.48322147651006616798e+02 8.13716592908385272231e-01
9.52013422818791923419e+02 8.12956172217967565352e-01
9.55704697986577230040e+02 8.12171563061306556186e-01
9.59395973154362309288e+02 8.11400381457678676611e-01
9.63087248322147615909e+02 8.10642704681231451858e-01
9.66778523489932808843e+02 8.09898595465044501829e-01
9.70469798657718115464e+02 8.09168107153368398876e-01
9.74161073825503308399e+02 8.08451279908690589870e-01
9.77852348993288615020e+02 8.07748142778007105491e-01
9.81543624161073807954e+02 8.07058714314599523476e-01
9.85234899328859000889e+02 8.06383003151384003537e-01
9.88926174496644307510e+02 8.05721008549807327093e-01
9.92617449664429500444e+02 8.05072720925105622669e-01
9.96308724832214693379e+02 8.04438122348744011347e-01
1.00000000000000000000e+03 8.03817187028713409092e-01


QUADRATIC ERROR = 7.710035e-05
